file_name	sample_name	years_bp	latitude	longitude	depth_cm	context
PRI-TJPGK-CATN-112-114.fq.gz	PRI-TJPGK-CATN-112-114	1500	-12.37292	-75.69260	113	Human evidence dissappeared
PRI-TJPGK-CATN-160-162.fq.gz	PRI-TJPGK-CATN-160-162	2600	-12.37292	-75.69260	161	Human occuppance 
PRI-TJPGK-CATN-224-226.fq.gz	PRI-TJPGK-CATN-224-226	4200	-12.37292	-75.69260	225 	Human occuppance 
PRI-TJPGK-CATN-288-290.fq.gz	PRI-TJPGK-CATN-288-290	5800	-12.37292	-75.69260	289 	Human occuppance 
PRI-TJPGK-CATN-96-98.fq.gz	PRI-TJPGK-CATN-96-98	1200	-12.37292	-75.69260	97	Human evidence dissappeared
